datetime,open,high,low,close,volume
2019-01-01 04:00:00,51370825937.57759,52742724821.75011,51370825937.57759,52594525993.65233,67781509423.757614
2019-01-01 08:00:00,52702697942.524994,53149058061.29874,52662391131.11598,52824776791.03505,67781509423.757614
2019-01-01 12:00:00,52771829549.66318,54121847939.48578,52684610377.05365,53149451581.91887,67781509423.757614
2019-01-01 16:00:00,53255698738.62608,53822032385.04668,52508617772.33826,53702133079.88121,67781509423.757614
2019-01-01 20:00:00,53770581224.00705,55651213890.81572,53719593149.89081,55425483745.75737,67781509423.757614
2019-01-02 00:00:00,55431196295.088425,55642041168.45551,54894972644.5651,55054217549.22312,86595703270.91925
2019-01-02 04:00:00,55074947690.5365,55546741811.14254,54677644499.12976,55531149064.29821,86595703270.91925
2019-01-02 08:00:00,55535948722.42021,56843374116.05675,55535948722.42021,56521451362.590775,86595703270.91925
2019-01-02 12:00:00,56511456341.903984,57363182217.42084,56158971039.835846,56484663769.80996,86595703270.91925
2019-01-02 16:00:00,56456763772.75054,57787166381.56963,56430410865.53561,57509800468.797966,86595703270.91925
2019-01-02 20:00:00,57515308716.06099,58744691213.8778,57238846208.78744,58052345581.64482,86595703270.91925
2019-01-03 00:00:00,58100378028.61949,58297737922.6542,57193240390.76567,57703026893.922,72750041130.929
2019-01-03 04:00:00,57734360042.32869,57989831416.74762,57153225189.40032,57420170797.83618,72750041130.929
2019-01-03 08:00:00,57374331617.38796,57374331617.38796,55814906455.67836,56287606595.58469,72750041130.929
2019-01-03 12:00:00,56273858399.98863,56760626348.73715,56121008282.331535,56420911771.30125,72750041130.929
2019-01-03 16:00:00,56443663516.73591,56477202641.23463,54973993379.895775,55247795735.97555,72750041130.929
2019-01-03 20:00:00,55262263370.59391,55962050736.62071,55214558710.59959,55599483398.67238,72750041130.929
2019-01-04 00:00:00,55585075551.6597,56460727036.11275,54997939833.52083,56413323987.23689,79417433473.12402
2019-01-04 04:00:00,56398807400.38559,57493387489.261086,56140765167.47592,56730634229.54945,79417433473.12402
2019-01-04 08:00:00,56722752159.70964,56944237574.90447,55875467180.25247,56031187719.26096,79417433473.12402
2019-01-04 12:00:00,56000665729.06429,56211754682.42719,54714087982.22064,55330790784.5448,79417433473.12402
2019-01-04 16:00:00,55308402479.61882,55746496851.80181,55107935038.191086,55667858526.81713,79417433473.12402
2019-01-04 20:00:00,55652800706.62441,57293480223.83493,55528420071.411705,56678969416.38986,79417433473.12402
2019-01-05 00:00:00,56646474491.50305,58034893744.58029,56604909585.47652,57545934117.02046,85374667907.8073
2019-01-05 04:00:00,57558301961.85857,57742707137.875626,56549663264.44171,56596355351.27551,85374667907.8073
2019-01-05 08:00:00,56581844075.30991,57447427607.303696,56441971724.493546,57298637471.49204,85374667907.8073
2019-01-05 12:00:00,57319547196.10779,58125352850.08945,56983499903.52338,57536321308.98343,85374667907.8073
2019-01-05 16:00:00,57404554156.66574,57809645854.62819,57045826709.21454,57642827648.15984,85374667907.8073
2019-01-05 20:00:00,57645328792.4906,57728356125.35944,56426934761.91351,56522379885.08345,85374667907.8073
2019-01-06 00:00:00,56566920697.61389,57074232310.485794,55580224394.93904,56493575935.0933,90819258272.62498
2019-01-06 04:00:00,56491266426.91342,56577338150.56296,55986932154.1781,56144472954.47223,90819258272.62498
2019-01-06 08:00:00,56226691899.01128,57387215629.0909,56012104289.74721,57155618624.02869,90819258272.62498
2019-01-06 12:00:00,57134103024.58167,57435748982.11263,56625481264.79421,57127348512.80648,90819258272.62498
2019-01-06 16:00:00,57075493617.1967,59957524234.566605,57000772608.50189,59218212448.34729,90819258272.62498
2019-01-06 20:00:00,59218777075.950455,59414581466.02727,58565773140.30504,58920659814.8578,90819258272.62498
2019-01-07 00:00:00,58920934690.63931,59435789248.647446,58289386173.57512,58662496498.538345,82261428691.1968
2019-01-07 04:00:00,58663082488.62982,59079501396.92999,58471421824.931015,59053010668.824814,82261428691.1968
2019-01-07 08:00:00,59035612543.82468,59249294533.44188,57322700900.670944,58342459444.80078,82261428691.1968
2019-01-07 12:00:00,58315882346.13345,58602755176.21474,57878568233.94554,58186202602.13829,82261428691.1968
2019-01-07 16:00:00,58139644344.9572,58484838343.16463,57670088555.25131,58342631377.87466,82261428691.1968
2019-01-07 20:00:00,58315200817.23711,58344547047.357285,57374150524.85628,57742507579.99397,82261428691.1968
