datetime,open,high,low,close,volume,Volume MA
2009-01-01 00:00:00,81.152,81.152,81.152,81.152,,
2009-01-01 04:00:00,81.182,81.183,81.182,81.183,,
2009-01-01 08:00:00,81.182,81.182,80.981,80.981,,
2009-01-01 12:00:00,80.982,81.123,80.873,81.122,,
2009-01-01 16:00:00,81.123,81.326,81.023,81.188,,
2009-01-01 20:00:00,81.181,81.188,80.854,81.026,,
2009-01-02 00:00:00,81.017,81.645,80.913,81.519,,
2009-01-02 04:00:00,81.527,81.79,81.521,81.576,,
2009-01-02 08:00:00,81.577,81.681,81.238,81.411,,
2009-01-02 12:00:00,81.418,81.849,81.163,81.384,,
2009-01-02 16:00:00,81.383,81.921,81.263,81.839,,
2009-01-02 20:00:00,81.84,81.896,81.482,81.501,,
2009-01-04 22:00:00,81.47,81.523,81.336,81.484,,
2009-01-05 02:00:00,81.486,81.851,81.482,81.652,,
2009-01-05 06:00:00,81.657,82.74,81.379,82.664,,
2009-01-05 10:00:00,82.654,83.174,82.482,83.023,,
2009-01-05 14:00:00,83.014,83.017,82.584,82.832,,
2009-01-05 18:00:00,82.813,82.879,82.538,82.558,,
2009-01-05 22:00:00,82.544,82.658,82.425,82.512,,
2009-01-06 00:00:00,82.503,82.837,82.503,82.678,,
2009-01-06 04:00:00,82.669,83.396,82.59,83.369,,
2009-01-06 08:00:00,83.368,83.896,83.222,83.868,,
2009-01-06 12:00:00,83.89,84.023,83.355,83.588,,
2009-01-06 16:00:00,83.61,83.624,82.751,82.85,,
2009-01-06 20:00:00,82.848,82.951,82.759,82.855,,
2009-01-07 00:00:00,82.858,83.268,82.745,82.78,,
2009-01-07 04:00:00,82.778,83.088,82.426,82.545,,
2009-01-07 08:00:00,82.548,82.743,82.222,82.36,,
2009-01-07 12:00:00,82.347,82.437,81.628,82.072,,
2009-01-07 16:00:00,82.066,82.315,81.717,82.275,,
2009-01-07 20:00:00,82.28,82.375,82.029,82.338,,
2009-01-08 00:00:00,82.331,82.591,82.331,82.447,,
2009-01-08 04:00:00,82.45,82.555,82.011,82.453,,
2009-01-08 08:00:00,82.446,82.661,82.272,82.446,,
2009-01-08 12:00:00,82.429,82.5,81.183,81.603,,
2009-01-08 16:00:00,81.598,81.792,81.379,81.536,,
2009-01-08 20:00:00,81.532,81.649,81.428,81.639,,
2009-01-09 00:00:00,81.64,81.931,81.637,81.861,,
2009-01-09 04:00:00,81.866,81.872,81.56,81.741,,
2009-01-09 08:00:00,81.726,81.929,81.436,81.525,,
2009-01-09 12:00:00,81.515,82.575,81.35,82.316,,
2009-01-09 16:00:00,82.317,82.756,82.211,82.663,,
2009-01-09 20:00:00,82.681,82.719,78.878,78.878,,
2009-01-11 22:00:00,82.736,82.882,82.66,82.697,,
2009-01-12 02:00:00,82.695,82.942,82.67,82.762,,
2009-01-12 06:00:00,82.761,83.237,82.688,83.047,,
2009-01-12 10:00:00,83.052,83.137,82.699,82.898,,
2009-01-12 14:00:00,82.901,83.431,82.801,82.903,,
2009-01-12 18:00:00,82.912,83.232,82.897,83.198,,
2009-01-12 22:00:00,83.2,83.305,83.166,83.249,,
2009-01-13 00:00:00,83.253,83.529,83.24,83.423,,
2009-01-13 04:00:00,83.424,83.902,83.378,83.734,,
2009-01-13 08:00:00,83.727,83.856,83.486,83.699,,
2009-01-13 12:00:00,83.7,84.318,83.667,84.282,,
2009-01-13 16:00:00,84.277,84.446,84.07,84.265,,
2009-01-13 20:00:00,84.273,84.322,84.135,84.171,,
2009-01-14 00:00:00,84.173,84.173,83.742,83.899,,
2009-01-14 04:00:00,83.901,83.904,83.536,83.61,,
2009-01-14 08:00:00,83.628,84.199,83.457,84.037,,
2009-01-14 12:00:00,84.036,84.639,83.966,84.425,,
2009-01-14 16:00:00,84.405,84.503,84.209,84.417,,
2009-01-14 20:00:00,84.419,84.556,84.169,84.182,,
2009-01-15 00:00:00,84.179,84.49,84.179,84.391,,
2009-01-15 04:00:00,84.399,84.551,84.175,84.504,,
2009-01-15 08:00:00,84.507,84.56,84.066,84.292,,
2009-01-15 12:00:00,84.295,85.137,84.043,85.013,,
2009-01-15 16:00:00,85.008,85.013,84.33,84.44,,
2009-01-15 20:00:00,84.426,84.668,84.363,84.511,,
2009-01-16 00:00:00,84.383,84.546,83.978,84.054,,
2009-01-16 04:00:00,84.049,84.231,83.828,83.98,,
2009-01-16 08:00:00,83.99,84.225,83.58,83.732,,
2009-01-16 12:00:00,83.724,84.194,83.455,84.042,,
2009-01-16 16:00:00,84.045,84.26,83.852,83.906,,
2009-01-16 20:00:00,83.905,84.212,83.87,84.045,,
2009-01-18 22:00:00,83.579,83.785,83.481,83.674,,
2009-01-19 02:00:00,83.669,83.7,83.472,83.653,,
2009-01-19 06:00:00,83.655,84.105,83.507,83.996,,
2009-01-19 10:00:00,83.999,84.585,83.887,84.439,,
