datetime,open,high,low,close,volume,Volume MA
2008-12-31 22:00:00,880.1,880.22,876.9,880.15,81.0,
2009-01-01 02:00:00,880.15,880.22,880.15,880.15,34.0,
2009-01-01 06:00:00,880.15,882.0,880.15,880.15,35.0,
2009-01-01 10:00:00,880.15,880.22,880.15,880.15,35.0,
2009-01-01 14:00:00,880.15,882.0,880.15,880.15,39.0,
2009-01-01 18:00:00,880.15,880.22,880.15,880.15,36.0,
2009-01-01 22:00:00,880.47,888.1,875.15,876.25,2362.0,
2009-01-02 02:00:00,876.15,878.6,870.6,873.25,3501.0,
2009-01-02 06:00:00,873.2,877.35,870.58,872.4,4058.0,
2009-01-02 10:00:00,873.15,874.72,866.75,871.7,15069.0,
2009-01-02 14:00:00,871.65,879.0,870.55,876.25,26602.0,
2009-01-02 18:00:00,876.3,880.2,873.5,875.3,5486.0,
2009-01-04 22:00:00,873.2,885.17,873.2,875.1,5428.0,
2009-01-05 02:00:00,874.05,875.5,866.8,873.85,5890.0,
2009-01-05 06:00:00,873.82,874.6,860.5,863.35,9544.0,
2009-01-05 10:00:00,863.1,863.97,842.85,846.42,22411.0,
2009-01-05 14:00:00,846.15,855.6,844.85,854.9,34249.0,
2009-01-05 18:00:00,854.85,860.12,854.2,858.5,11814.0,
2009-01-05 22:00:00,859.2,859.3,851.45,853.8,4204.0,
2009-01-06 02:00:00,854.42,857.1,846.35,848.4,4878.0,7787.8
2009-01-06 06:00:00,849.07,850.8,838.55,845.4,9983.0,8282.9
2009-01-06 10:00:00,845.05,849.67,838.85,844.6,23494.0,9455.9
2009-01-06 14:00:00,844.87,859.25,842.45,857.5,37086.0,11308.45
2009-01-06 18:00:00,857.25,870.4,856.6,863.37,13673.0,11990.35
2009-01-06 22:00:00,863.35,863.57,855.6,858.17,4696.0,12223.2
2009-01-07 02:00:00,857.65,861.6,856.2,859.05,5350.0,12488.9
2009-01-07 06:00:00,859.62,866.55,856.9,863.25,10381.0,12889.85
2009-01-07 10:00:00,863.45,866.9,858.7,864.8,18442.0,13636.9
2009-01-07 14:00:00,865.22,865.22,835.2,843.97,44067.0,15637.35
2009-01-07 18:00:00,844.05,845.15,836.4,841.95,11682.0,15468.0
2009-01-07 22:00:00,842.82,846.4,835.65,844.4,5320.0,14403.9
