datetime,open,high,low,close
2021-01-01 00:30:00,89.931,89.931,89.931,89.931
2021-01-03 22:00:00,89.931,89.931,89.931,89.931
2021-01-04 02:45:00,89.711,89.715,89.689,89.689
2021-01-04 03:00:00,89.692,89.712,89.681,89.691
2021-01-04 03:15:00,89.691,89.702,89.671,89.675
2021-01-04 03:30:00,89.679,89.715,89.671,89.681
2021-01-04 03:45:00,89.684,89.698,89.665,89.681
2021-01-04 04:00:00,89.684,89.705,89.68,89.697
2021-01-04 04:15:00,89.699,89.726,89.694,89.724
2021-01-04 04:30:00,89.727,89.758,89.718,89.741
2021-01-04 04:45:00,89.742,89.754,89.729,89.731
2021-01-04 05:00:00,89.729,89.746,89.726,89.745
2021-01-04 05:15:00,89.75,89.785,89.744,89.767
2021-01-04 05:30:00,89.768,89.772,89.744,89.755
2021-01-04 05:45:00,89.759,89.761,89.676,89.695
2021-01-04 06:00:00,89.699,89.749,89.69,89.749
2021-01-04 06:15:00,89.749,89.775,89.744,89.757
2021-01-04 06:30:00,89.76,89.76,89.711,89.718
2021-01-04 06:45:00,89.721,89.722,89.68,89.686
2021-01-04 07:00:00,89.69,89.692,89.618,89.633
2021-01-04 07:15:00,89.636,89.654,89.602,89.625
2021-01-04 07:30:00,89.625,89.637,89.603,89.605
2021-01-04 07:45:00,89.604,89.67,89.585,89.636
2021-01-04 08:00:00,89.636,89.646,89.591,89.62
2021-01-04 08:15:00,89.623,89.635,89.583,89.591
2021-01-04 08:30:00,89.595,89.597,89.516,89.516
2021-01-04 08:45:00,89.515,89.541,89.513,89.523
2021-01-04 09:00:00,89.524,89.537,89.502,89.534
2021-01-04 09:15:00,89.539,89.539,89.45,89.461
2021-01-04 09:30:00,89.464,89.466,89.428,89.447
2021-01-04 09:45:00,89.449,89.501,89.441,89.472
2021-01-04 10:00:00,89.474,89.478,89.425,89.428
2021-01-04 10:15:00,89.431,89.48,89.425,89.467
2021-01-04 10:30:00,89.471,89.481,89.453,89.461
2021-01-04 10:45:00,89.463,89.473,89.429,89.463
2021-01-04 11:00:00,89.467,89.467,89.423,89.448
2021-01-04 11:15:00,89.451,89.483,89.441,89.455
2021-01-04 11:30:00,89.459,89.485,89.45,89.478
2021-01-04 11:45:00,89.479,89.513,89.464,89.497
2021-01-04 12:00:00,89.505,89.544,89.501,89.516
2021-01-04 12:15:00,89.52,89.529,89.474,89.477
2021-01-04 12:30:00,89.48,89.525,89.469,89.515
2021-01-04 12:45:00,89.515,89.53,89.465,89.479
2021-01-04 13:00:00,89.483,89.55,89.474,89.549
2021-01-04 13:15:00,89.552,89.61,89.534,89.595
2021-01-04 13:30:00,89.599,89.599,89.523,89.524
2021-01-04 13:45:00,89.527,89.578,89.497,89.549
2021-01-04 14:00:00,89.553,89.574,89.521,89.547
2021-01-04 14:15:00,89.55,89.58,89.499,89.507
2021-01-04 14:30:00,89.511,89.613,89.501,89.552
2021-01-04 14:45:00,89.555,89.643,89.524,89.618
2021-01-04 15:00:00,89.621,89.721,89.609,89.69
2021-01-04 15:15:00,89.693,89.763,89.678,89.763
2021-01-04 15:30:00,89.766,89.795,89.74,89.749
2021-01-04 15:45:00,89.749,89.814,89.734,89.745
2021-01-04 16:00:00,89.747,89.793,89.72,89.725
2021-01-04 16:15:00,89.73,89.77,89.723,89.765
2021-01-04 16:30:00,89.768,89.835,89.748,89.826
2021-01-04 16:45:00,89.83,89.897,89.819,89.893
2021-01-04 17:00:00,89.897,89.914,89.878,89.909
2021-01-04 17:15:00,89.912,89.928,89.855,89.864
2021-01-04 17:30:00,89.867,89.885,89.858,89.866
2021-01-04 17:45:00,89.868,89.915,89.865,89.881
2021-01-04 18:00:00,89.885,89.924,89.865,89.896
2021-01-04 18:15:00,89.9,89.904,89.881,89.895
2021-01-04 18:30:00,89.898,89.933,89.892,89.92
2021-01-04 18:45:00,89.923,89.929,89.874,89.878
2021-01-04 19:00:00,89.88,89.931,89.875,89.899
2021-01-04 19:15:00,89.904,89.916,89.899,89.902
2021-01-04 19:30:00,89.903,89.911,89.883,89.889
2021-01-04 19:45:00,89.891,89.917,89.867,89.869
2021-01-04 20:00:00,89.872,89.926,89.867,89.9
2021-01-04 20:15:00,89.903,89.922,89.892,89.918
2021-01-04 20:30:00,89.922,89.943,89.915,89.93
2021-01-04 20:45:00,89.933,89.944,89.895,89.896
2021-01-04 21:00:00,89.9,89.922,89.892,89.895
2021-01-04 21:15:00,89.896,89.934,89.895,89.932
2021-01-04 21:30:00,89.936,89.936,89.901,89.914
2021-01-04 21:45:00,89.917,89.92,89.872,89.884
2021-01-04 22:00:00,89.883,89.896,89.871,89.879
2021-01-04 22:15:00,89.878,89.896,89.874,89.882
2021-01-04 22:30:00,89.883,89.888,89.878,89.884
2021-01-04 22:45:00,89.884,89.887,89.876,89.88
2021-01-04 23:00:00,89.882,89.907,89.879,89.907
2021-01-05 00:30:00,89.903,89.903,89.903,89.903
2021-01-05 00:45:00,89.863,89.87,89.844,89.859
2021-01-05 01:00:00,89.863,89.863,89.832,89.832
2021-01-05 01:15:00,89.835,89.841,89.812,89.813
2021-01-05 01:30:00,89.816,89.838,89.811,89.835
2021-01-05 01:45:00,89.839,89.944,89.828,89.846
2021-01-05 02:00:00,89.85,89.853,89.819,89.824
2021-01-05 02:15:00,89.828,89.834,89.797,89.797
2021-01-05 02:30:00,89.8,89.801,89.762,89.768
2021-01-05 02:45:00,89.771,89.78,89.743,89.753
2021-01-05 03:00:00,89.755,89.769,89.724,89.724
2021-01-05 03:15:00,89.723,89.744,89.714,89.716
2021-01-05 03:30:00,89.72,89.739,89.704,89.73
2021-01-05 03:45:00,89.734,89.768,89.73,89.733
2021-01-05 04:00:00,89.738,89.768,89.733,89.763
2021-01-05 04:15:00,89.766,89.773,89.751,89.768
2021-01-05 04:30:00,89.77,89.772,89.754,89.757
2021-01-05 04:45:00,89.76,89.761,89.743,89.748
2021-01-05 05:00:00,89.752,89.752,89.723,89.731
2021-01-05 05:15:00,89.734,89.74,89.717,89.726
2021-01-05 05:30:00,89.73,89.75,89.725,89.744
2021-01-05 05:45:00,89.749,89.751,89.704,89.716
2021-01-05 06:00:00,89.72,89.752,89.71,89.734
2021-01-05 06:15:00,89.737,89.748,89.716,89.738
2021-01-05 06:30:00,89.741,89.745,89.694,89.695
2021-01-05 06:45:00,89.695,89.722,89.685,89.712
2021-01-05 07:00:00,89.712,89.781,89.709,89.762
2021-01-05 07:15:00,89.763,89.766,89.704,89.709
2021-01-05 07:30:00,89.712,89.754,89.704,89.75
2021-01-05 07:45:00,89.753,89.831,89.748,89.811
2021-01-05 08:00:00,89.814,89.814,89.71,89.728
2021-01-05 08:15:00,89.731,89.742,89.68,89.731
2021-01-05 08:30:00,89.734,89.785,89.722,89.747
2021-01-05 08:45:00,89.75,89.77,89.717,89.721
2021-01-05 09:00:00,89.726,89.736,89.669,89.692
2021-01-05 09:15:00,89.695,89.702,89.643,89.644
2021-01-05 09:30:00,89.647,89.695,89.643,89.665
2021-01-05 09:45:00,89.669,89.722,89.652,89.706
2021-01-05 10:00:00,89.711,89.711,89.654,89.667
2021-01-05 10:15:00,89.67,89.677,89.634,89.648
2021-01-05 10:30:00,89.651,89.666,89.634,89.653
2021-01-05 10:45:00,89.657,89.689,89.649,89.681
2021-01-05 11:00:00,89.685,89.685,89.617,89.639
2021-01-05 11:15:00,89.639,89.67,89.618,89.63
2021-01-05 11:30:00,89.633,89.645,89.596,89.631
2021-01-05 11:45:00,89.63,89.64,89.61,89.633
2021-01-05 12:00:00,89.637,89.681,89.623,89.671
2021-01-05 12:15:00,89.676,89.747,89.672,89.726
2021-01-05 12:30:00,89.73,89.749,89.681,89.718
2021-01-05 12:45:00,89.722,89.755,89.702,89.706
2021-01-05 13:00:00,89.709,89.726,89.68,89.713
2021-01-05 13:15:00,89.713,89.751,89.691,89.734
2021-01-05 13:30:00,89.737,89.773,89.727,89.744
2021-01-05 13:45:00,89.747,89.794,89.74,89.789
2021-01-05 14:00:00,89.793,89.795,89.721,89.721
2021-01-05 14:15:00,89.724,89.729,89.689,89.703
2021-01-05 14:30:00,89.708,89.735,89.662,89.689
2021-01-05 14:45:00,89.691,89.748,89.681,89.719
2021-01-05 15:00:00,89.722,89.787,89.716,89.731
2021-01-05 15:15:00,89.735,89.797,89.716,89.74
2021-01-05 15:30:00,89.744,89.769,89.672,89.712
2021-01-05 15:45:00,89.716,89.716,89.627,89.665
2021-01-05 16:00:00,89.668,89.676,89.637,89.643
2021-01-05 16:15:00,89.644,89.675,89.608,89.612
2021-01-05 16:30:00,89.616,89.616,89.528,89.556
2021-01-05 16:45:00,89.557,89.557,89.517,89.523
2021-01-05 17:00:00,89.525,89.529,89.434,89.471
2021-01-05 17:15:00,89.475,89.49,89.443,89.472
2021-01-05 17:30:00,89.475,89.478,89.444,89.465
2021-01-05 17:45:00,89.469,89.484,89.455,89.459
2021-01-05 18:00:00,89.465,89.481,89.456,89.463
2021-01-05 18:15:00,89.463,89.473,89.431,89.443
2021-01-05 18:30:00,89.446,89.49,89.442,89.478
2021-01-05 18:45:00,89.482,89.495,89.465,89.486
2021-01-05 19:00:00,89.49,89.505,89.466,89.466
2021-01-05 19:15:00,89.471,89.477,89.448,89.452
2021-01-05 19:30:00,89.452,89.47,89.439,89.448
